2019-08-13 00:28:05.798900 {"type":"join","timestamp":1565656085.7989,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"itsmekntDiscord[","nickname":"itsmekntDiscord[","username":"disco_7350","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-jrvrxfuzpsihetuc"},"content":null,"modes":[]}
2019-08-13 13:23:01.229900 {"type":"message","timestamp":1565702581.2299,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"OsakaFoo","nickname":"OsakaFoo","username":"~osaka","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/osakafoo"},"content":"they are terrible, and the other one research gate","modes":[]}
2019-08-13 13:24:09.821000 {"type":"message","timestamp":1565702649.821,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"OsakaFoo","nickname":"OsakaFoo","username":"~osaka","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/osakafoo"},"content":"Off topic: I wish my university would offer up staff and students some basic webspace.","modes":[]}
2019-08-13 13:24:20.549600 {"type":"message","timestamp":1565702660.5496,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":"Me thibks I need to write a post on why you need your own and not to use academia.edu","modes":["voice"]}
2019-08-13 13:25:00.151800 {"type":"message","timestamp":1565702700.1518,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"OsakaFoo","nickname":"OsakaFoo","username":"~osaka","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/osakafoo"},"content":"100% agree","modes":[]}
2019-08-13 13:28:35.423800 {"type":"message","timestamp":1565702915.4238,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremyche","name":"Jeremy Cherfas","photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":"Academia, ResearchGate and the others are all about clicks and likes, and getting hold of your preprints and reprints so they get the traffic rather than you.","modes":["voice"]}
2019-08-13 13:35:20.327200 {"type":"join","timestamp":1565703320.3272,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"IWSlackGateway","nickname":"IWSlackGateway","username":"~IRCSlack","name":"IRC to Slack Gateway","photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-13 13:37:20.783200 {"type":"message","timestamp":1565703440.7832,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sl007","nickname":"sl007","username":"~sl007","name":null,"photo":"https:\/\/en.gravatar.com\/userimage\/102693419\/30b44297c18af48d3c52222c3cb88847.jpeg","url":"http:\/\/sebastianlasse.de","tz":"Europe\/Berlin","host":"2a02:908:8c1:a60:ac18:5db2:5ba7:e3ee"},"content":"[tantek] About the page: Designed it before my tool was ready, and noticed that the static page rendering has a bug in the tabs webcomponent. Will be fixed. Page should not require JS off course but is a WIP for one more week ;) Noticed 7 bugs so far \u2026","modes":["voice"]}
2019-08-13 13:48:09.335100 {"type":"join","timestamp":1565704089.3351,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-08-13 13:59:25.546700 {"type":"join","timestamp":1565704765.5467,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"rainmanj_","nickname":"rainmanj_","username":"~rainmanja","name":null,"photo":null,"url":null,"tz":null,"host":"71-36-127-83.ptld.qwest.net"},"content":null,"modes":[]}
2019-08-13 14:06:40.420300 {"type":"join","timestamp":1565705200.4203,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-08-13 14:12:01.542100 {"type":"join","timestamp":1565705521.5421,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 14:40:47.309500 {"type":"join","timestamp":1565707247.3095,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-13 14:40:48.231700 {"type":"message","timestamp":1565707248.2317,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"sl007++ great job with shipping early and shipping often \ud83d\ude42","modes":[]}
2019-08-13 14:40:48.313300 {"type":"message","timestamp":1565707248.3133,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"sl007 has 7 karma in this channel over the last year (8 in all channels)","modes":[]}
2019-08-13 14:41:22.296800 {"type":"join","timestamp":1565707282.2968,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-13 14:41:23.255600 {"type":"message","timestamp":1565707283.2556,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":"Jeremycherfas but we deal in the currency of citations and you get massive boosts using academia.edu..so people like getting the clicks","modes":[]}
2019-08-13 14:41:40.788000 {"type":"message","timestamp":1565707300.788,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":"But yes I agree gross.. Folks should do it from your own domain. They are trying to be the social network for academics","modes":["voice"]}
2019-08-13 14:43:45.627000 {"type":"message","timestamp":1565707425.627,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"wasn't that classmates . com?","modes":["voice"]}
2019-08-13 14:45:00.816000 {"type":"join","timestamp":1565707500.816,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-08-13 14:45:31.746200 {"type":"join","timestamp":1565707531.7462,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"173.230.155.197"},"content":null,"modes":[]}
2019-08-13 14:45:32.711400 {"type":"message","timestamp":1565707532.7114,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"173.230.155.197"},"content":"academics, not students","modes":[]}
2019-08-13 14:45:32.882000 {"type":"message","timestamp":1565707532.882,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"173.230.155.197"},"content":"\ud83d\ude06","modes":[]}
2019-08-13 14:50:00.478500 {"type":"join","timestamp":1565707800.4785,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-08-13 15:07:02.636800 {"type":"join","timestamp":1565708822.6368,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-08-13 15:29:11.833300 {"type":"join","timestamp":1565710151.8333,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"97-120-12-219.ptld.qwest.net"},"content":null,"modes":[]}
2019-08-13 15:39:47.671300 {"type":"join","timestamp":1565710787.6713,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-08-13 15:51:25.704100 {"type":"join","timestamp":1565711485.7041,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KempfCreative1","nickname":"KempfCreative1","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"2604:6000:7dc5:2400:11f6:ac88:8ecb:b887"},"content":null,"modes":[]}
2019-08-13 16:01:24.324300 {"type":"join","timestamp":1565712084.3243,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"97-120-12-219.ptld.qwest.net"},"content":null,"modes":[]}
2019-08-13 16:10:54.738900 {"type":"join","timestamp":1565712654.7389,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-13 16:20:19.114100 {"type":"join","timestamp":1565713219.1141,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nilocDiscord[m]","nickname":"nilocDiscord[m]","username":"disco_7355","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ahljkenhgdrowqfc"},"content":null,"modes":[]}
2019-08-13 16:45:25.912200 {"type":"join","timestamp":1565714725.9122,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KempfCreative1","nickname":"KempfCreative1","username":"Thunderbir","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/vpn\/privateinternetaccess\/kempfcreative"},"content":null,"modes":[]}
2019-08-13 16:51:40.377100 {"type":"join","timestamp":1565715100.3771,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[grantcodes]","nickname":"[grantcodes]","username":"~slackuser","name":null,"photo":"https:\/\/grant.codes\/icons\/favicon-32x32.png","url":"http:\/\/grant.codes","tz":"Europe\/London","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-13 16:55:31.873100 {"type":"join","timestamp":1565715331.8731,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sblinnDiscord[m]","nickname":"sblinnDiscord[m]","username":"disco_7356","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-ffnytypxtrkzsksp"},"content":null,"modes":[]}
2019-08-13 16:58:04.078200 {"type":"join","timestamp":1565715484.0782,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"hasslon","nickname":"hasslon","username":"~hasslon","name":null,"photo":null,"url":null,"tz":null,"host":"ns335257.ip-5-196-88.eu"},"content":null,"modes":[]}
2019-08-13 17:03:29.836600 {"type":"join","timestamp":1565715809.8366,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:04:15.349800 {"type":"join","timestamp":1565715855.3498,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:05:01.907200 {"type":"join","timestamp":1565715901.9072,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:05:49.763600 {"type":"join","timestamp":1565715949.7636,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:06:38.619300 {"type":"join","timestamp":1565715998.6193,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:07:26.873300 {"type":"join","timestamp":1565716046.8733,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:08:13.668900 {"type":"join","timestamp":1565716093.6689,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:08:50.798300 {"type":"join","timestamp":1565716130.7983,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":null,"photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"97-120-12-219.ptld.qwest.net"},"content":null,"modes":[]}
2019-08-13 17:09:01.863200 {"type":"join","timestamp":1565716141.8632,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jackjamieson","nickname":"jackjamieson","username":"~jackjamie","name":null,"photo":null,"url":"http:\/\/jackjamieson.net","tz":"Canada\/Eastern","host":"public-124-109.nat.utoronto.ca"},"content":null,"modes":[]}
2019-08-13 17:19:52.322000 {"type":"join","timestamp":1565716792.322,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-08-13 17:21:47.674500 {"type":"join","timestamp":1565716907.6745,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"bltavares_","nickname":"bltavares_","username":"~bltavares","name":null,"photo":null,"url":null,"tz":null,"host":"2804:431:c7f4:4270:db9f:6696:5433:8f5f"},"content":null,"modes":[]}
2019-08-13 17:50:28.358700 {"type":"join","timestamp":1565718628.3587,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"kensp","nickname":"kensp","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"ip68-230-67-176.ph.ph.cox.net"},"content":null,"modes":[]}
2019-08-13 18:13:48.228900 {"type":"leave","timestamp":1565720028.2289,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"truthDiscord[m]","nickname":"truthDiscord[m]","username":"disco6849","name":"@_discord_297926896216440832:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-aohbcjclygtyzdne"},"content":null,"modes":[]}
2019-08-13 18:16:23.217200 {"type":"join","timestamp":1565720183.2172,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"im_saeed","nickname":"im_saeed","username":"~im-saeed","name":null,"photo":null,"url":null,"tz":null,"host":"82.102.13.162"},"content":null,"modes":[]}
2019-08-13 18:27:13.496500 {"type":"join","timestamp":1565720833.4965,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"im_saeed","nickname":"im_saeed","username":"~im-saeed","name":null,"photo":null,"url":null,"tz":null,"host":"82.102.13.162"},"content":null,"modes":[]}
2019-08-13 19:15:41.546100 {"type":"join","timestamp":1565723741.5461,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"loicm","nickname":"loicm","username":"~bballizli","name":null,"photo":null,"url":null,"tz":null,"host":"42-233-164-185.ftth.cust.kwaoo.net"},"content":null,"modes":[]}
2019-08-13 19:23:15.775200 {"type":"join","timestamp":1565724195.7752,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"patterson","nickname":"patterson","username":"~patterson","name":"...","photo":null,"url":null,"tz":null,"host":"73.96.107.169"},"content":null,"modes":[]}
2019-08-13 19:41:12.788300 {"type":"join","timestamp":1565725272.7883,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[schmarty]","nickname":"[schmarty]","username":"~slackuser","name":null,"photo":"https:\/\/martymcgui.re\/img\/logo.jpg","url":"http:\/\/martymcgui.re","tz":"America\/New_York","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-08-13 19:46:20.627800 {"type":"join","timestamp":1565725580.6278,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"blassin","nickname":"blassin","username":"~blassin","name":"nah","photo":null,"url":null,"tz":null,"host":"44.140.108.93.rev.vodafone.pt"},"content":null,"modes":[]}
2019-08-13 20:01:12.640400 {"type":"join","timestamp":1565726472.6404,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"kensp","nickname":"kensp","username":"~Thunderbi","name":null,"photo":null,"url":null,"tz":null,"host":"ip68-230-67-176.ph.ph.cox.net"},"content":null,"modes":[]}
2019-08-13 20:13:35.313100 {"type":"join","timestamp":1565727215.3131,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-08-13 20:47:19.832900 {"type":"join","timestamp":1565729239.8329,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"txmjs","nickname":"txmjs","username":"516de8c0","name":null,"photo":null,"url":null,"tz":null,"host":"cpc76910-dals22-2-0-cust191.20-2.cable.virginm.net"},"content":null,"modes":[]}
