2019-09-27 00:10:37.024300 {"type":"join","timestamp":1569543037.0243,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jgmac1106","nickname":"jgmac1106","username":"~jgmac1106","name":"Greg McVerry","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"c-76-23-135-43.hsd1.ct.comcast.net"},"content":null,"modes":[]}
2019-09-27 16:51:55.225300 {"type":"message","timestamp":1569603115.2253,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"See","modes":[]}
2019-09-27 16:52:05.126400 {"type":"message","timestamp":1569603125.1264,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"I just set it to 30 seconds","modes":[]}
2019-09-27 16:52:09.399600 {"type":"message","timestamp":1569603129.3996,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"I think","modes":[]}
2019-09-27 16:52:12.147700 {"type":"message","timestamp":1569603132.1477,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"Wait","modes":[]}
2019-09-27 16:52:14.308000 {"type":"message","timestamp":1569603134.308,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"Wut","modes":[]}
2019-09-27 16:52:24.771100 {"type":"message","timestamp":1569603144.7711,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"Maybe it's a graphical bug","modes":[]}
2019-09-27 16:52:43.616100 {"type":"join","timestamp":1569603163.6161,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-09-27 16:52:45.271200 {"type":"message","timestamp":1569603165.2712,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"Idk","modes":[]}
2019-09-27 16:53:19.015200 {"type":"message","timestamp":1569603199.0152,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"\/me uploaded an image: unknown.jpeg (328KB) < https:\/\/matrix.org\/_matrix\/media\/v1\/download\/permaweb.io\/DmSfnjyesFflspBGKAMHcDQg >","modes":[]}
2019-09-27 16:58:25.079400 {"type":"message","timestamp":1569603505.0794,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"[tantek] yeah we do have a very imperfect fuzzy distinction between note posts and reply chains, eg twitter and mastodon style, and actual \"chat,\" eg IRC etc here","modes":["voice"]}
2019-09-27 16:59:26.048900 {"type":"message","timestamp":1569603566.0489,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[snarfed]","nickname":"[snarfed]","username":"~slackuser","name":null,"photo":null,"url":"http:\/\/snarfed.org","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"we've obviously made much more progress on owning notes + reply chains than true chat. mastodon still clearly seems like the former more than the latter, though, hence my pushing on it harder","modes":["voice"]}
2019-09-27 17:04:18.914800 {"type":"join","timestamp":1569603858.9148,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"nitot","nickname":"nitot","username":"~nitot","name":null,"photo":null,"url":"http:\/\/standblog.org","tz":"Europe\/Paris","host":"2a01:e35:8bfa:a0c0:8972:f5df:fdd9:80b"},"content":null,"modes":[]}
2019-09-27 17:14:36.786700 {"type":"join","timestamp":1569604476.7867,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"radio_aliceDisco","nickname":"radio_aliceDisco","username":"discord627","name":null,"photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-uuocpipffiavgyee"},"content":null,"modes":[]}
2019-09-27 17:17:46.073600 {"type":"message","timestamp":1569604666.0736,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"ShokuninDiscord[","nickname":"ShokuninDiscord[","username":"disco6602","name":"@_discord_398336732287991808:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-zutozoshzvyyfmdw"},"content":"Fixed, thanks Jaoheah","modes":[]}
2019-09-27 17:18:16.272200 {"type":"message","timestamp":1569604696.2722,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"JaoheahDiscord[m","nickname":"JaoheahDiscord[m","username":"disco7070","name":"@_discord_315583781207539712:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/x-vdnslrvczsxkoxce"},"content":"yw","modes":[]}
2019-09-27 17:24:11.248200 {"type":"join","timestamp":1569605051.2482,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-09-27 17:30:17.620500 {"type":"message","timestamp":1569605417.6205,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"That\u2019s a fair distinction snarfed","modes":["voice"]}
2019-09-27 17:30:53.628700 {"type":"message","timestamp":1569605453.6287,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":"tantek via slack-irc-gateway","photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"If masto has real-time hashtag timelines then it could look more like chat","modes":["voice"]}
2019-09-27 17:31:14.408200 {"type":"message","timestamp":1569605474.4082,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":"jgmac1106 via slack-irc-gateway","photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":"I think my first toot on that instance was IRC is the OG chat of IndieWeb (I write from Slack)","modes":["voice"]}
2019-09-27 18:49:32.288900 {"type":"join","timestamp":1569610172.2889,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"gareppa","nickname":"gareppa","username":"~gareppa","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/gareppa"},"content":null,"modes":[]}
2019-09-27 18:58:50.302700 {"type":"join","timestamp":1569610730.3027,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"anotheryou","nickname":"anotheryou","username":"uid257186","name":"anotheryou","photo":null,"url":null,"tz":null,"host":"gateway\/web\/irccloud.com\/x-uoihtaubdclfeivm"},"content":null,"modes":[]}
