2019-10-31 00:02:59.273700 {"type":"join","timestamp":1572480179.2737,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jeremycherfas","nickname":"jeremycherfas","username":"~jeremyche","name":"Jeremy Cherfas","photo":"https:\/\/www.jeremycherfas.net\/user\/themes\/mytheme\/images\/zoot.jpg","url":"http:\/\/jeremycherfas.net","tz":"Europe\/Rome","host":"jeremy.powered.by.lunarbnc.net"},"content":null,"modes":[]}
2019-10-31 00:24:51.830500 {"type":"join","timestamp":1572481491.8305,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"leoalvarezhDisco","nickname":"leoalvarezhDisco","username":"disco7249","name":"@_discord_380800395297030144:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:24:51.882900 {"type":"join","timestamp":1572481491.8829,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"test123Discord[m","nickname":"test123Discord[m","username":"disco7235","name":"@_discord_571973437090824213:permaweb.io","photo":null,"url":null,"tz":null,"host":"gateway\/shell\/matrix.org\/session"},"content":null,"modes":[]}
2019-10-31 00:38:00.987400 {"type":"join","timestamp":1572482280.9874,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[chrisbergr]","nickname":"[chrisbergr]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-31 01:06:39.628000 {"type":"join","timestamp":1572483999.628,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"tscha","nickname":"tscha","username":"~ndrsh","name":null,"photo":null,"url":null,"tz":null,"host":"03ea-525b-8851-6017-8480-49c0-07d0-2001.sta.estpak.ee"},"content":null,"modes":[]}
2019-10-31 01:19:05.141700 {"type":"message","timestamp":1572484745.1417,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"finding myself wanting a new feature for my site which \"freezes\" my website to not show any posts created after this morning until tomorrow night","modes":["voice"]}
2019-10-31 01:19:14.726500 {"type":"message","timestamp":1572484754.7265,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"kind of like delayed checkins that Known has, except for everythign","modes":["voice"]}
2019-10-31 01:22:48.891600 {"type":"message","timestamp":1572484968.8916,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"Hm, in Publ posts default to \u2018scheduled\u2019 and only become visible after the date happens.","modes":["voice"]}
2019-10-31 01:23:09.217100 {"type":"message","timestamp":1572484989.2171,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"(they\u2019re hidden before that, so people who know the entry ID can still look early. but they don\u2019t appear in feeds or whatever.)","modes":["voice"]}
2019-10-31 01:23:25.016100 {"type":"message","timestamp":1572485005.0161,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":"Didn't tantek add an undo feature which uses a delay? Youra would just be longer.","modes":["voice"]}
2019-10-31 01:23:31.297600 {"type":"message","timestamp":1572485011.2976,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"yeah like that, but i want to \"schedule\" them in the past?","modes":["voice"]}
2019-10-31 01:23:44.354900 {"type":"message","timestamp":1572485024.3549,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"so like, schedule them for the future but with a prior display date?","modes":["voice"]}
2019-10-31 01:24:30.162400 {"type":"message","timestamp":1572485070.1624,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[jgmac1106]","nickname":"[jgmac1106]","username":"~slackuser","name":null,"photo":"http:\/\/quickthoughts.jgregorymcverry.com\/file\/6802fbcdd3fada8cb61ffb798978f72f\/thumb.jpg","url":"http:\/\/jgregorymcverry.com","tz":"-5 GMT","host":"chat.indieweb.org"},"content":"I never got around to making a Halloween costume for my site... May just fall back on a background img and creepy font.... I had such cool css animation plans","modes":["voice"]}
2019-10-31 01:24:30.419300 {"type":"message","timestamp":1572485070.4193,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"Could you conceptually separate the display date out from the publish date?","modes":["voice"]}
2019-10-31 01:25:41.643600 {"type":"message","timestamp":1572485141.6436,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"i want the posts to exist at the \"right\" time, but only show up on my site after tomorrow","modes":["voice"]}
2019-10-31 01:25:48.264100 {"type":"message","timestamp":1572485148.2641,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"so it's not quite a scheduled post","modes":["voice"]}
2019-10-31 01:25:53.614300 {"type":"message","timestamp":1572485153.6143,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"it's more like delayed display of posts","modes":["voice"]}
2019-10-31 01:31:58.253400 {"type":"message","timestamp":1572485518.2534,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"aaronpk","nickname":"aaronpk","username":"~aaronpk","name":null,"photo":"https:\/\/aaronparecki.com\/images\/aaronpk-128.jpg","url":"http:\/\/aaronparecki.com","tz":"America\/Los_Angeles","host":"electra.pin13.net"},"content":"weird exception to this is i still want to send webmentions from these posts, i just don't want them to show up on my home page or any lists until later","modes":["voice"]}
2019-10-31 01:34:26.898000 {"type":"message","timestamp":1572485666.898,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[tantek]","nickname":"[tantek]","username":"~slackuser","name":null,"photo":"http:\/\/tantek.com\/logo.jpg","url":"http:\/\/Tantek.com","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":"getting folks to setup IndieAuth at HWC SF","modes":["voice"]}
2019-10-31 01:36:35.969000 {"type":"message","timestamp":1572485795.969,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"GWG","nickname":"GWG","username":"~GWG","name":"GWG","photo":"https:\/\/david.shanske.com\/wp-content\/uploads\/avatar-privacy\/cache\/gravatar\/2\/c\/2cb1f8afd9c8d3b646b4071c5ed887c970d81d625eeed87e447706940e2c403d-96.png","url":"http:\/\/david.shanske.com","tz":"America\/New_York","host":"pool-72-69-18-11.nycmny.fios.verizon.net"},"content":"[tantek]: Fun.","modes":["voice"]}
2019-10-31 02:15:05.873900 {"type":"message","timestamp":1572488105.8739,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"Loqi","nickname":"Loqi","username":"Loqi","name":"Loqi","photo":null,"url":null,"tz":null,"host":null},"content":"[indienews] New post: \"Publ 0.5.8, Authl 0.3.1, and IndieAuth security\" http:\/\/publ.beesbuzz.biz\/blog\/491-Publ-0-5-8-Authl-0-3-1-and-IndieAuth-security","modes":[]}
2019-10-31 02:43:44.246900 {"type":"join","timestamp":1572489824.2469,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-10-31 02:54:35.972900 {"type":"join","timestamp":1572490475.9729,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"KartikPrabhu","nickname":"KartikPrabhu","username":"~kartik","name":"purple","photo":null,"url":null,"tz":null,"host":"careybuilding.fltg.net"},"content":null,"modes":[]}
2019-10-31 03:30:45.093500 {"type":"join","timestamp":1572492645.0935,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"sl007","nickname":"sl007","username":"~sl007","name":null,"photo":"https:\/\/en.gravatar.com\/userimage\/102693419\/30b44297c18af48d3c52222c3cb88847.jpeg","url":"http:\/\/sebastianlasse.de","tz":"Europe\/Berlin","host":"2a02:908:8c1:a60:7cf5:afa9:1dbd:549d"},"content":null,"modes":[]}
2019-10-31 03:33:10.950100 {"type":"join","timestamp":1572492790.9501,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[fluffy]","nickname":"[fluffy]","username":"~slackuser","name":null,"photo":"https:\/\/beesbuzz.biz\/static\/headshot.jpg","url":"http:\/\/beesbuzz.biz","tz":"America\/Los_Angeles","host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-31 03:51:04.176600 {"type":"join","timestamp":1572493864.1766,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Ramiro_Ruiz]","nickname":"[Ramiro_Ruiz]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":null,"modes":[]}
2019-10-31 03:51:04.850900 {"type":"message","timestamp":1572493864.8509,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Ramiro_Ruiz]","nickname":"[Ramiro_Ruiz]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"Still thinking about my structure if I keep using different type for each kind of post (note, photo, reply, etc.) or to keep all together under notes\/ and just differentiate each one by their category. I took a look at what other Hugo users are doing, Daniel Goldsmith while he doesn\u2019t have his code public, looks like he\u2019s using posts for articles and micro for everything else. Jamie Tanna posts and mf2 for micro posts.","modes":[]}
2019-10-31 03:51:04.858000 {"type":"message","timestamp":1572493864.858,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"[Ramiro_Ruiz]","nickname":"[Ramiro_Ruiz]","username":"~slackuser","name":null,"photo":null,"url":null,"tz":null,"host":"chat.indieweb.org"},"content":"Right now the types I have are work, blog, notes, photos, replies and more in the works (quotes, reposts, workouts) so I don\u2019t know if it will be better to keep them separate or is easier to maintain together \ud83e\udd14","modes":[]}
2019-10-31 03:55:52.728300 {"type":"join","timestamp":1572494152.7283,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"marcusr","nickname":"marcusr","username":"~marcusram","name":"Convos v0.99_40","photo":null,"url":null,"tz":null,"host":"mojo\/viking\/marcusr"},"content":null,"modes":[]}
2019-10-31 04:15:23.542700 {"type":"join","timestamp":1572495323.5427,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"marcusr","nickname":"marcusr","username":"~marcusram","name":"Convos v0.99_40","photo":null,"url":null,"tz":null,"host":"mojo\/viking\/marcusr"},"content":null,"modes":[]}
2019-10-31 04:16:00.805800 {"type":"join","timestamp":1572495360.8058,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"wolftune","nickname":"wolftune","username":"~aaron","name":"Aaron Wolf","photo":null,"url":"http:\/\/wolftune.com","tz":"America\/Los_Angeles","host":"75-164-143-245.ptld.qwest.net"},"content":null,"modes":[]}
2019-10-31 04:19:21.336300 {"type":"join","timestamp":1572495561.3363,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"marcusr","nickname":"marcusr","username":"~marcusram","name":"Convos v0.99_40","photo":null,"url":null,"tz":null,"host":"mojo\/viking\/marcusr"},"content":null,"modes":[]}
2019-10-31 04:36:46.498800 {"type":"join","timestamp":1572496606.4988,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"rEnr3n","nickname":"rEnr3n","username":"~rEnr3n","name":"rEnr3n","photo":null,"url":null,"tz":null,"host":"unaffiliated\/renr3n"},"content":null,"modes":[]}
2019-10-31 04:42:56.303800 {"type":"join","timestamp":1572496976.3038,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"OberstKrueger","nickname":"OberstKrueger","username":"~OberstKru","name":null,"photo":null,"url":null,"tz":null,"host":"unaffiliated\/oberstkrueger"},"content":null,"modes":[]}
2019-10-31 05:31:58.765700 {"type":"join","timestamp":1572499918.7657,"network":"irc","server":"freenode","channel":{"uid":"#indieweb","name":"#indieweb"},"author":{"uid":"jbove","nickname":"jbove","username":"~jbove","name":null,"photo":null,"url":null,"tz":null,"host":"ip-176-198-121-193.hsi05.unitymediagroup.de"},"content":null,"modes":[]}
